Region;Region_name
1;Bjelovarsko-bilogorska županija
2;Brodsko-posavska županija
3;Dubrovačko-neretvanska županija
4;Istarska županija
5;Karlovačka županija
6;Koprivničko-križevačka županija
7;Krapinsko-zagorska županija
8;Ličko-senjska županija
9;Međimurska županija
10;Osječko-baranjska županija
11;Požeško-slavonska županija
12;Primorsko-goranska županija
13;Šibensko-kninska županija
14;Sisačko-moslavačka županija
15;Splitsko-dalmatinska županija
16;Varaždinska županija
17;Virovitičko-podravska županija
18;Vukovarsko-srijemska županija
19;Zadarska županija
20;Zagrebačka županija
21;Grad Zagreb
